"Julian Day","Chamber Number","Measurement Duration (s)","        Mean CO2 (ppm)","        Mean CH4 (ppm)","        Mean N2O (ppm)","        Mean NH3 (ppm)","        Mean H2O (ppm)","     Chem Detect (0/1)","   Cav. Pressure (kPa)","Cav. Temperature (K)","   Water Content (fraction)","Chamber Temperature (K)","Chamber Pressure (kPa)","    Flux CO2 (L) (umol/m^2/s)","    Flux CO2 (E) (umol/m^2/s)","    Flux CH4 (L) (nmol/m^2/s)","    Flux CH4 (E) (nmol/m^2/s)","    Flux N2O (L) (nmol/m^2/s)","    Flux N2O (E) (nmol/m^2/s)","    Flux NH3 (L) (umol/m^2/s)","    Flux NH3 (E) (umol/m^2/s)","  e_Flux CO2 (L) (umol/m^2/s)","  e_Flux CO2 (E) (umol/m^2/s)","  e_Flux CH4 (L) (nmol/m^2/s)","  e_Flux CH4 (E) (nmol/m^2/s)","  e_Flux N2O (L) (nmol/m^2/s)","  e_Flux N2O (E) (nmol/m^2/s)","  e_Flux NH3 (L) (umol/m^2/s)","  e_Flux NH3 (E) (umol/m^2/s)","Metadata"
40.842107,2,288,5394.94095323,23.49143585,3.70484180,130.32394137,1.65119825,0.00000000,18.66562875,318.15129173,0.01494858,288.33854264,98.31000000,450.79764841,453.34686605,2059.72324687,2077.61181054,282.74299793,283.71390072,-0.95011806,-0.95360982,5.05590209,0.33694010,20.37284475,460.84146222,4.15688889,543.89700092,0.01527039,1.24717467,"Measurement #0017  from Forerunner Autochamber # 2"
40.846156,3,288,3746.43712987,38.22488318,1.53896141,121.77594544,1.79368115,1.00000000,18.66519231,318.15011781,0.01657250,288.36954723,97.73000000,632.96734580,634.84288823,8111.47148966,8148.96414449,207.31835067,207.44905073,-0.62439084,-0.62763640,5.57131879,1.60193637,60.79921446,812.32934293,1.99502520,1265.52661347,0.00783018,0.93573340,"Measurement #0018  from Forerunner Autochamber # 3"
40.850232,4,286,1028.29744144,26.91618680,0.40432918,1893.47900674,1.00982418,1.00000000,18.66535029,318.14928874,0.00669421,287.42210688,96.40000000,62.76528594,63.05037073,3688.80767127,3694.31926447,8.19263419,17.11565049,131.68694614,131.94182300,0.20277326,0.20398964,27.01227291,474.87119994,0.11296881,311.73590759,1.23042201,0.46514364,"Measurement #0019  from Forerunner Autochamber # 4"
40.854258,5,280,1219.58758596,33.21270575,0.38532047,821.10503537,1.42530383,1.00000000,18.66522910,318.14968398,0.01359829,287.93191665,97.36000000,141.52244249,141.56195847,8111.64615774,8119.09109284,6.46798552,20.13938187,-19.33556111,-106.70798781,1.97914679,1.56332520,121.16998327,1483.32971463,0.21886880,1355.46324373,0.73423366,0.12560057,"Measurement #0020  from Forerunner Autochamber # 5"
40.886546,1,287,2427.94350548,24.27265705,1.03101222,106.21481256,1.05507056,0.00000000,18.66629813,318.14944250,0.00775445,285.48005077,97.78000000,156.01982768,157.12845638,1886.59207408,1917.18025161,52.84292046,53.09283873,-1.03920976,-2.31518135,1.18313174,0.24306828,13.58021613,3738.14350631,0.49496910,692.73418694,0.01860806,0.22608410,"Measurement #0021  from Forerunner Autochamber # 1"
40.890603,2,289,6760.96558890,27.67289462,3.23779559,128.64924858,1.51212496,0.00000000,18.66562724,318.15001111,0.01380012,285.82607532,97.86000000,517.81450433,624.33042142,2150.02662835,2932.00262309,226.17238246,253.48641087,-1.06659636,-1.09532682,3.28561866,0.54179783,16.78498354,349.37355028,1.53972559,968.85031215,0.00496008,1.40914696,"Measurement #0022  from Forerunner Autochamber # 2"
40.894695,3,285,3911.57620197,40.11310987,1.48763508,118.80461885,1.60007416,1.00000000,18.66553118,318.14933354,0.01476147,286.40328971,97.72000000,709.42023977,711.77363622,9356.08203041,9406.29767408,211.83037208,212.48664198,-0.88225006,-1.05069397,8.61281501,0.52152410,110.79701803,980.27176840,2.58517052,361.43559646,0.00655269,1.77831546,"Measurement #0023  from Forerunner Autochamber # 3"
40.898733,4,290,1040.70491399,28.56568419,0.40231141,1723.75419374,0.99648382,1.00000000,18.66524499,318.14955596,0.00726000,285.54964995,97.65000000,63.90452260,64.19296619,4116.35542931,4121.28338819,7.11711406,13.67184146,88.57780470,88.72959457,0.52034510,0.37602357,43.19166132,836.53416276,0.18771683,986.11015927,1.35480688,0.77296747,"Measurement #0024  from Forerunner Autochamber # 4"
40.902838,5,296,1223.31131828,32.72981041,0.39607180,746.14143217,1.27564983,1.00000000,18.66527876,318.14931975,0.01302019,285.89469485,97.11000000,118.28284233,118.35242593,7391.90466090,7400.56303439,5.64434923,37.38024617,-14.52742547,-155.20271903,0.28286684,0.57852918,15.36591341,299.56095450,0.04605736,495.11392894,0.12878014,0.15967063,"Measurement #0025  from Forerunner Autochamber # 5"
40.935047,1,288,2623.72976724,26.70999076,0.94687445,103.59505006,0.99489301,1.00000000,18.66652735,318.14977079,0.00719919,284.48412146,97.79000000,191.90567678,193.47567730,2326.45769839,2346.94499462,51.72773823,52.06614688,-0.86395077,-1.19731856,1.43789240,0.86508917,16.11053495,1156.08297492,0.42754236,835.44275154,0.01541493,1.52616312,"Measurement #0026  from Forerunner Autochamber # 1"
40.939116,2,284,6790.10696107,19.15835165,2.65678472,124.91669607,1.43419616,1.00000000,18.66555336,318.15033925,0.01307165,284.70100668,97.54000000,460.55912567,696.46526416,1134.26850149,2468.12154534,162.70162927,235.23745760,-1.09198305,-1.16896331,4.19649670,0.25758933,17.94986884,151.76772305,1.54273004,351.80782045,0.00385172,5.16756399,"Measurement #0027  from Forerunner Autochamber # 2"
40.943178,3,285,3552.49097176,34.68574354,1.26084450,120.95946701,1.47407294,1.00000000,18.66554177,318.14943074,0.01355570,284.98719740,97.70000000,676.16637094,677.82746502,8838.30662552,8857.02938123,175.78007745,175.90441509,-1.23787862,-1.24659025,10.41728137,1.03495266,106.34690432,1533.47727856,2.84407460,1505.58802195,0.01749791,11.75450929,"Measurement #0028  from Forerunner Autochamber # 3"
40.947238,4,290,1202.12372337,35.05120524,0.40353932,1813.28189483,0.98575479,1.00000000,18.66531282,318.14959849,0.00742817,284.62892745,97.21000000,90.88246972,92.94584183,5486.34304096,5498.90895085,9.03799688,19.39287853,80.51615084,80.57824450,0.84620906,2.37756005,59.20354744,788.46906184,0.41140261,2256.21458518,2.51127680,0.74025523,"Measurement #0029  from Forerunner Autochamber # 4"
40.951268,5,283,1162.77792222,32.48158354,0.38413485,668.84401908,1.07305748,1.00000000,18.66534618,318.14937520,0.01051020,284.84452455,97.28000000,118.08142409,118.10930815,7701.18624862,7714.77786659,5.26271255,37.16079367,2.47901730,2.47767230,1.92015628,0.91359922,107.63143205,510.26209035,0.26274231,376.99912144,0.87828355,1.71080456,"Measurement #0030  from Forerunner Autochamber # 5"
40.983537,1,285,2660.27104205,27.70925183,0.87001308,104.10432614,1.01372828,1.00000000,18.66639032,318.14982118,0.00739209,283.63418925,97.76000000,197.96584827,199.45732699,2432.77914015,2462.01031832,47.65593701,47.98120860,-1.10177854,-1.34353173,1.84964091,1.60351069,20.06065042,2216.41002544,0.53104535,1921.21468654,0.00225797,1.48133432,"Measurement #0031  from Forerunner Autochamber # 1"
40.987615,2,289,6660.63346717,26.53437405,2.21017420,123.96770919,1.38957718,0.00000000,18.66571101,318.15022464,0.01263121,284.08136994,97.33000000,510.85413793,580.72361001,2081.49295653,2687.15444792,147.80935657,156.56183655,-1.12146204,-1.13301730,6.38422757,1.61873583,27.07204287,571.04899340,2.05113203,8598.94865140,0.00694373,1.63806219,"Measurement #0032  from Forerunner Autochamber # 2"
40.991687,3,291,3978.73949428,40.28614551,1.38319734,122.39511199,1.41611016,1.00000000,18.66550460,318.14948937,0.01302214,284.88027156,97.72000000,781.34951232,783.74223430,10671.31257617,10684.69803029,205.83793924,206.47493890,-0.94781323,-0.95010050,5.53683828,0.36537098,73.80975470,888.89968758,1.47144680,363.81512712,0.01111657,0.61850965,"Measurement #0033  from Forerunner Autochamber # 3"
40.995690,4,285,1085.56566430,31.40719924,0.38712936,2050.86187903,0.93451186,1.00000000,18.66537334,318.14969499,0.00687538,283.85881835,97.01000000,56.51883288,66.47476855,3619.44658084,3637.13830870,6.25738555,15.53888631,57.54292226,57.57648638,0.28428285,1.52137961,15.34356955,639.31126148,0.16067688,1155.27052793,1.17058598,1.04617387,"Measurement #0034  from Forerunner Autochamber # 4"
40.999800,5,286,1105.41068242,33.32875678,0.35244619,639.63863630,1.01521543,1.00000000,18.66553571,318.14948586,0.00973782,284.08136994,97.40000000,106.30443886,106.48575111,7288.73572587,7293.36698957,3.25832224,19.94855206,-5.43366203,-5.42995285,1.59942302,0.15659257,88.08504755,263.70877804,0.23101249,1489.98957459,0.81907045,1.04166974,"Measurement #0035  from Forerunner Autochamber # 5"
41.032037,1,286,3055.75698237,30.46171354,0.90096502,106.89951655,1.03424414,1.00000000,18.66643872,318.15014489,0.00770003,284.08136994,97.79000000,228.05446770,230.28060149,2703.68277356,2738.37374542,47.93906446,48.36644664,-1.26021251,-1.85531444,0.61844414,7.79193043,7.50882181,1267.37802598,0.13259818,326.95498390,0.00610521,0.29843028,"Measurement #0036  from Forerunner Autochamber # 1"
41.036086,2,286,6257.50002606,14.04861151,1.91720875,121.64971258,1.37359392,1.00000000,18.66545659,318.15015502,0.01283956,284.55663284,97.32000000,448.17475368,623.59232514,912.79094593,1551.90718941,117.79531445,152.27994754,-1.21148188,-1.58054065,1.67949273,0.42450884,5.50014199,359.83433424,0.42920851,607.74691814,0.00308160,0.36035843,"Measurement #0037  from Forerunner Autochamber # 2"
41.040134,3,287,4045.58179066,41.40678972,1.33509028,125.09532761,1.49089268,1.00000000,18.66548921,318.14966825,0.01369687,285.27005071,97.78000000,791.60188346,792.84742185,10394.37204881,10419.98949299,194.58555341,194.69241401,-0.77911336,-0.78230934,9.94994817,0.54197614,102.33790249,750.23139681,2.99756932,1195.48169389,0.00758055,1.23736808,"Measurement #0038  from Forerunner Autochamber # 3"
41.044214,4,289,1002.57651104,29.46699740,0.38534398,1852.47112412,0.95833777,1.00000000,18.66524581,318.14968433,0.00617919,284.66499390,97.28000000,41.30744022,67.46795251,2502.17307463,3316.98876842,3.80459896,13.16425411,96.76116557,96.99428502,0.12737019,0.41315249,6.97106912,879.48394686,0.02629653,288.13639888,0.23128601,0.48949698,"Measurement #0039  from Forerunner Autochamber # 4"
41.048277,5,292,1058.00936353,29.50804603,0.37659803,587.90613011,0.88429715,1.00000000,18.66491247,318.14970117,0.00678245,285.23487368,97.62000000,100.66434448,100.87008755,6402.56696540,6413.05489901,6.16517889,34.79749197,7.25191406,7.26125217,0.16424152,1.47254413,11.08318973,937.30036962,0.19090381,382.46340909,0.23116771,0.47613672,"Measurement #0040  from Forerunner Autochamber # 5"
41.080551,1,287,2888.26944954,30.78797883,0.83233678,108.38810255,1.01568895,1.00000000,18.66645391,318.14970481,0.00740617,283.36943937,97.80000000,234.72560389,288.22593363,3027.46748829,3671.67097543,47.78743692,56.32029834,-1.05570729,-1.06044271,2.12054920,1.24157984,23.76546725,1119.68311561,0.46069737,1704.16058185,0.01737949,3.07652822,"Measurement #0041  from Forerunner Autochamber # 1"
41.084608,2,291,6001.43529979,23.08022446,1.75864063,121.40916071,1.30406090,0.00000000,18.66570343,318.15011694,0.01190804,283.33137834,97.36000000,503.38435131,509.27682456,2122.72214830,2137.15454637,123.82451813,124.98934310,-1.14505531,-1.15629551,4.75673233,1.04549151,15.51694563,276.83227619,1.34139846,634.91955282,0.00684959,1.73283837,"Measurement #0042  from Forerunner Autochamber # 2"
41.088697,3,287,4009.76771664,44.61250552,1.33236294,123.31399181,1.30058797,1.00000000,18.66539229,318.14945739,0.01212200,283.70929905,97.74000000,832.91820595,835.18402190,12706.76337981,12740.04727186,210.80996887,211.35289052,-0.68182225,-0.68213880,3.50892729,0.55243708,55.01737881,121.83484420,0.97970645,710.61331630,0.00528253,0.70560312,"Measurement #0043  from Forerunner Autochamber # 3"
41.092712,4,289,945.63160975,24.50867712,0.39115146,1280.54111138,0.90889506,1.00000000,18.66536123,318.14967901,0.00659131,282.71402591,97.22000000,65.93909340,66.16221827,4023.60260452,4027.94440672,6.48087979,14.16869117,67.61283064,67.68554734,0.31080372,0.85093234,50.92608926,1012.08628313,0.17137215,1210.67786760,1.19461103,0.34641760,"Measurement #0044  from Forerunner Autochamber # 4"
41.096759,5,290,1051.97140378,31.36277940,0.36705712,522.18832784,0.90594956,1.00000000,18.66525446,318.14949267,0.00732021,283.29325679,97.40000000,98.27509015,98.48879233,7110.13344734,7115.33614573,4.12593748,35.97043507,2.86580031,2.86659610,2.68926340,0.62266591,225.61106171,1104.55430247,0.82577731,1115.29250893,0.84205703,1.60694134,"Measurement #0045  from Forerunner Autochamber # 5"
41.129053,1,284,2850.67768330,32.14370962,0.80577916,102.30967227,1.00490204,1.00000000,18.66650972,318.14979786,0.00736890,282.59647555,97.80000000,254.37821037,341.21333457,3417.89395169,4602.96711237,48.86536999,62.55800507,-0.90785512,-0.90980418,2.53497664,1.35782266,31.22892628,1146.49688322,0.51428582,1998.17130049,0.02276234,3.57559157,"Measurement #0046  from Forerunner Autochamber # 1"
41.133101,2,288,5547.17004134,24.72364599,1.51441397,113.34226399,1.24974340,1.00000000,18.66559786,318.15031745,0.01148105,282.59647555,97.18000000,566.23529832,570.53872660,2803.42947177,2817.57145278,126.96106983,127.75164313,-0.96806848,-0.97565176,3.95951850,1.14156534,19.37064323,939.41194441,1.02652373,1675.99964555,0.00631496,1.65535142,"Measurement #0047  from Forerunner Autochamber # 2"
41.137238,3,295,4132.03408175,48.07708385,1.32046008,112.79337912,1.28263278,1.00000000,18.66538574,318.14961239,0.01185834,282.90866600,97.73000000,966.54648504,968.35689702,15135.07160891,15168.31093969,228.38836454,228.59424878,-1.15901880,-1.16060980,23.41955585,0.75112117,169.02322878,1241.21125542,2.71409081,1162.07435759,0.01485628,0.57450252,"Measurement #0048  from Forerunner Autochamber # 3"
41.141222,4,282,1049.17162280,31.04129768,0.38568001,1896.21263936,0.93296693,1.00000000,18.66536466,318.14968666,0.00658982,282.24030553,97.20000000,51.14653762,66.76575149,3424.23636610,3550.52173063,3.92624543,3.91078681,52.81804762,52.86252816,0.21966653,0.51890856,14.55596597,3902.13872585,0.06297350,337.16240793,0.23516013,0.48392253,"Measurement #0049  from Forerunner Autochamber # 4"
41.145320,5,294,993.51244796,30.39451356,0.34805365,545.03272033,0.91361702,1.00000000,18.66538493,318.14977251,0.00942647,282.59647555,97.40000000,90.79660091,90.90697423,6693.52830748,6698.45793982,3.64489330,10.27241921,-9.40096927,-9.37801483,2.19547522,0.62995638,129.83159776,1445.57268417,0.27721207,955.88103710,1.18813894,0.83605942,"Measurement #0050  from Forerunner Autochamber # 5"
41.177578,1,289,3295.09521358,31.67678973,0.86518438,101.92654242,1.03091609,1.00000000,18.66650700,318.14983569,0.00814524,281.83820355,97.77000000,255.01930894,295.34356878,2806.36314242,3455.37438547,48.07239361,54.75401739,-1.34636499,-1.77856763,0.50771788,0.52414981,5.84032322,309.93798366,0.10569137,704.00803307,0.01053790,1.40181711,"Measurement #0051  from Forerunner Autochamber # 1"
41.181640,2,287,6107.75708972,27.35404924,1.61369458,111.07522175,1.19235802,1.00000000,18.66559416,318.15012805,0.01089305,281.79761621,97.02000000,534.48207148,595.83329043,2563.74680461,2806.44205364,118.44731463,121.27416824,-0.93223917,-0.93850630,3.16260297,2.78355529,15.07887942,3515.10638206,0.69511529,10663.59906696,0.00346923,0.73162003,"Measurement #0052  from Forerunner Autochamber # 2"
41.185729,3,289,4553.60635112,54.32446814,1.40836321,110.31233755,1.20365988,1.00000000,18.66524746,318.14979289,0.01117478,282.28014410,97.70000000,970.63936702,974.46435167,15345.02621578,15416.95874300,229.66977154,230.33268985,-0.73583645,-0.73855520,2.31268768,2.32846771,223.75000966,3363.01977201,3.68349338,2864.47028932,0.01968088,41.00575679,"Measurement #0053  from Forerunner Autochamber # 3"
41.189742,4,287,1039.05432231,32.64383982,0.38227860,1572.07554950,0.86105692,1.00000000,18.66527954,318.14968748,0.00658680,281.63456841,97.22000000,73.99636932,74.68596448,5101.53358711,5117.40270964,5.46691038,11.80558934,32.80422627,32.82406289,0.40685190,0.87368140,53.81231041,246.94012226,0.22028874,1037.24537666,1.07056495,0.68632354,"Measurement #0054  from Forerunner Autochamber # 4"
41.193792,5,284,1004.71647946,33.00715306,0.34589865,505.66657222,0.87830889,1.00000000,18.66525114,318.14971630,0.00726508,282.16042767,97.42000000,90.45155687,90.51995406,7082.23118110,7087.00939012,2.00264112,21.35947129,-1.03371250,-1.03157293,1.96789209,1.03232000,130.03953267,2734.33112019,0.31943190,605955.78443737,0.47344552,1.00304539,"Measurement #0055  from Forerunner Autochamber # 5"
41.226089,1,288,3220.15797566,30.45788826,0.84725183,101.60743955,1.04245525,1.00000000,18.66650080,318.14992564,0.01057514,281.75695930,97.81000000,268.19208452,274.90188533,2855.53835969,3262.00049891,49.34145169,50.02737448,-1.94020165,-11.91041398,0.41119312,7.38048658,4.64992886,1458.09503233,0.09539820,4504.65772670,0.02431354,0.47045029,"Measurement #0056  from Forerunner Autochamber # 1"
41.230172,2,291,5514.33571405,25.54799304,1.44012853,109.24088508,1.16216188,0.00000000,18.66571891,318.15025354,0.01072249,281.67543566,96.96000000,556.15628985,560.16361599,2857.40120222,2869.55060348,118.86782712,119.50410764,-0.98418061,-0.99224558,0.70048605,1.90753545,4.04045255,1288.27208587,0.69290657,379.51980340,0.00406000,0.18994502,"Measurement #0057  from Forerunner Autochamber # 2"
41.234223,3,286,4468.13604638,54.91464510,1.34452129,108.72737191,1.16911747,1.00000000,18.66527874,318.14976378,0.01095453,281.91917047,97.75000000,1001.66063477,1004.49895431,16349.68195252,16393.63136304,224.30464911,224.79126606,-0.97330389,-0.98012984,9.12002725,0.84282194,136.71001649,1294.52446452,2.24982127,480.01449215,0.00842888,1.95852239,"Measurement #0058  from Forerunner Autochamber # 3"
41.238213,4,288,986.85062000,30.02357170,0.37467175,1316.41615514,0.84272845,1.00000000,18.66534150,318.14970586,0.00647615,281.22196678,97.35000000,69.10923441,69.31174814,4685.15439578,4693.97049142,5.73480056,6.25729789,40.11866417,40.10563116,0.38083544,0.42177261,29.64133426,761.45758564,0.07807953,30934.20378078,0.59180011,0.52115375,"Measurement #0059  from Forerunner Autochamber # 4"
41.242279,5,284,979.59605781,30.58434827,0.34145780,481.50854319,0.84734627,1.00000000,18.66520164,318.14976410,0.00714113,281.59363053,97.50000000,88.50088493,88.53228957,6944.25455186,6950.05170338,1.06906580,21.83883703,-1.83986691,-1.83736235,2.23482655,0.40174436,148.51171283,355.50524764,0.24024421,4577648.15989395,0.42910534,9999.00000000,"Measurement #0060  from Forerunner Autochamber # 5"
41.274607,1,290,3209.49902909,31.35528704,0.85153604,102.31181502,1.06632676,1.00000000,18.66640489,318.14997952,0.01034266,281.59363053,97.83000000,286.08169375,293.86003913,3181.52862739,3632.29668363,53.68140105,54.39433315,-2.43231290,-8.32254102,0.49879044,3.94252842,4.80715914,1226.76429246,0.39531473,4190.70815522,0.07562464,0.23457193,"Measurement #0061  from Forerunner Autochamber # 1"
41.278673,2,290,5808.16848706,25.06805136,1.46736066,105.25523494,1.15176702,1.00000000,18.66558544,318.15029754,0.01055414,281.34650497,96.90000000,537.82748976,563.36595935,2500.94902327,2527.55274204,112.28765662,113.20952641,-0.88358546,-0.88854453,3.02423898,0.82368331,11.39821897,183.92545250,0.67219529,1239.39335544,0.00416362,0.27415312,"Measurement #0062  from Forerunner Autochamber # 2"
41.282744,3,294,4507.15250132,55.23277527,1.32668737,106.79756902,1.15970656,1.00000000,18.66495809,318.14975098,0.01080722,281.95955058,97.80000000,964.39117679,967.19176290,15882.23808359,15924.52678631,212.51038595,213.01162263,-0.86420805,-0.86507449,16.08717017,2.04498724,197.69163959,1143.89650602,3.64328281,1299.77849711,0.02243996,1.22755271,"Measurement #0063  from Forerunner Autochamber # 3"
41.286734,4,290,1022.28098583,29.88039307,0.37343119,1683.56293011,0.86322062,1.00000000,18.66525555,318.15000752,0.00667728,280.92879685,97.42000000,50.44253582,60.37835031,3665.32315211,3696.64402811,4.03650277,8.15701438,34.60784208,34.65349111,0.56518575,2.34722748,43.92613892,11667.08492059,0.15076103,1500.19754960,0.68413807,1.95933078,"Measurement #0064  from Forerunner Autochamber # 4"
